"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_total_bases","b_hit_by_pitch","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Schanuel, Nolan","694384","2024","22","519","607","130","98","19","0","13","103","68",17,11.2,".250",".362",".343","0.705","188","9",".260",".364",".315",".322",".353",".104",65.2,2.4,5.6,4.9,36.6,31.8,"6.6","13","86.1","10.3",36.4,3.5,25.4,"95.305191333","91.662606993",14.3,41.8
"Goldschmidt, Paul","502671","2024","36","599","654","147","91","33","1","22","173","47",26.5,7.2,".245",".414",".302","0.716","248","2",".258",".464",".310",".333",".314",".206",72.5,24.3,18,13.3,33.5,24.8,"7.8","10","91.2","13.1",34.3,10.7,49.6,"101.892583709","95.666428146",27.4,47.7
"Arcia, Orlando","606115","2024","29","551","602","120","79","24","0","17","128","41",21.3,6.8,".218",".354",".271","0.625","195","2",".208",".331",".273",".263",".265",".123",70.9,13.5,12.3,9.3,34.1,25.8,"7.9","25","88.2","8.6",29.9,5.3,37.8,"98.41985743","93.283896472",26.4,49.1
"Kwan, Steven","680757","2024","26","480","540","140","107","16","3","14","51","53",9.4,9.8,".292",".425",".368","0.793","204","5",".286",".390",".349",".334",".363",".104",64.5,0.4,6.2,5.7,41.6,38.6,"6.5","7","86.3","14.9",38.5,2.6,23.7,"95.04543782","91.531639359",8,39.1
"Springer III, George","543807","2024","34","545","614","120","79","19","3","19","115","60",18.7,9.8,".220",".371",".303","0.674","202","6",".247",".412",".298",".324",".328",".165",71.9,22.3,15.2,11.7,33,25.4,"7.4","24","87.5","9.4",29.2,9.3,37.4,"99.896868","94.046929394",25.3,49.1
"Steer, Spencer","668715","2024","26","574","656","129","71","34","4","20","137","72",20.9,11,".225",".402",".319","0.721","231","8",".237",".387",".316",".317",".330",".150",71.6,13.6,12.7,10,32.5,25.6,"7.4","21","88","17.4",34.2,6.4,39.9,"99.163434247","93.708755492",23.1,44.5
"Pasquantino, Vinnie","686469","2024","26","496","554","130","79","30","2","19","71","40",12.8,7.2,".262",".446",".315","0.761","221","4",".266",".443",".325",".331",".323",".177",71.9,20.7,16.1,13.9,36.6,31.6,"7.4","12","91","14.6",31.9,7.1,46.5,"100.997993151","94.970921142",14.5,47.8
"Ozuna, Marcell","542303","2024","33","606","688","183","113","31","0","39","170","74",24.7,10.8,".302",".546",".378","0.924","331","3",".290",".584",".395",".405",".371",".294",74,42.1,20.2,13.9,33.6,23.1,"7.4","4","92.2","14.4",40.2,15.5,53.5,"103.370699452","96.509068973",31.4,46.8
"Paredes, Isaac","670623","2024","25","542","641","129","84","25","1","19","105","76",16.4,11.9,".238",".393",".346","0.739","213","17",".224",".348",".327",".308",".336",".124",68.2,4.8,6.5,5.4,29,24.3,"8","13","85","22.4",37,4.5,27.1,"95.875582928","91.952619865",17.2,44.7
"Bleday, JJ","668709","2024","26","572","642","139","72","43","4","20","125","67",19.5,10.4,".243",".437",".324","0.761","250","2",".244",".404",".330",".319",".325",".160",71.7,16.5,15.5,11.8,35,26.5,"7.3","24","88.5","18.6",37.1,8.3,36.2,"98.959573229","93.527316345",26.1,45.3
"Freeman, Freddie","518692","2024","34","542","638","153","94","35","2","22","100","78",15.7,12.2,".282",".476",".378","0.854","258","10",".281",".477",".365",".370",".380",".196",69.7,10,13.2,10.7,33.9,27.5,"6.8","10","89.4","14.3",43.1,9.1,41.8,"100.349133067","94.527301044",20.2,49.4
"Soto, Juan","665742","2024","25","576","713","166","90","31","4","41","119","129",16.7,18.1,".288",".569",".419","0.988","328","4",".319",".658",".421",".463",".447",".339",75.5,59.6,25.6,20.7,39.7,32.2,"7.3","29","94.2","10.7",35.4,19.7,57,"105.650123728","97.994705143",21.5,37.2
"Merrill, Jackson","701538","2024","21","554","593","162","101","31","6","24","101","29",17,4.9,".292",".500",".326","0.826","277","1",".308",".547",".352",".376",".341",".240",72.2,21.3,15.2,12.3,30.4,24.6,"7.5","30","90.4","14.6",39.6,11.3,43.9,"100.811784978","94.735707484",20.5,56.9
"Perez, Salvador","521692","2024","34","590","652","160","105","28","0","27","129","44",19.8,6.7,".271",".456",".330","0.786","269","11",".275",".530",".335",".362",".334",".255",73.2,33.6,17.8,13.2,33.6,24.9,"7.9","15","91.1","19",39.4,12.2,44.8,"101.856275647","95.341857371",27.8,57.8
"Castellanos, Nick","592206","2024","32","606","659","154","97","30","4","23","139","41",21.1,6.2,".254",".431",".311","0.742","261","10",".273",".450",".321",".335",".328",".178",71.9,22.6,12.7,9,33.7,23.8,"7.6","12","88.4","15.2",39,8.1,38.2,"99.266703034","93.738511581",30.1,58
"Reynolds, Bryan","668804","2024","29","622","692","171","115","29","3","24","156","57",22.5,8.2,".275",".447",".344","0.791","278","10",".272",".472",".343",".352",".344",".200",71.5,17.1,17.4,12.7,36.6,26.7,"6.8","31","89.9","9.4",37.5,9.6,45.4,"100.987209316","94.867542484",29.4,50.4
"Carroll, Corbin","682998","2024","23","589","684","136","78","22","14","22","130","73",19,10.7,".231",".428",".322","0.750","252","10",".247",".403",".325",".329",".339",".156",73.7,36.9,18.4,14.6,34.9,27.7,"7","5","89.3","12",27.8,7.2,40.8,"101.055665665","94.755672366",20.3,41.4
"Santander, Anthony","623993","2024","29","595","665","140","69","25","2","44","129","58",19.4,8.7,".235",".506",".308","0.814","301","7",".233",".456",".345",".328",".308",".224",73.1,34,13.7,11,27.6,22.3,"7.2","7","89.8","22.7",35,11.7,41.6,"100.325476894","94.357156511",20,49.7
"Henderson, Gunnar","683002","2024","23","630","719","177","102","31","7","37","159","78",22.1,10.8,".281",".529",".364","0.893","333","7",".289",".505",".381",".379",".373",".217",76.3,64.1,22.6,17.6,32.2,25.1,"7.2","20","92.8","9.2",34.5,11.2,53.9,"104.002332911","96.835723291",24.4,44.2
"Verdugo, Alex","657077","2024","28","559","621","130","88","28","1","13","93","49",15,7.9,".233",".356",".291","0.647","199","1",".251",".380",".283",".304",".311",".129",68.4,7.6,10.9,9.2,40,33.7,"6.3","5","88.3","9.9",31.6,5.6,34.9,"98.009613263","93.0881338",15.5,44.7
"Garcia, Maikel","672580","2024","24","575","626","133","94","27","5","7","103","42",16.5,6.7,".231",".332",".281","0.613","191","0",".264",".376",".270",".303",".314",".111",70.8,10.8,16.1,14,41,35.6,"7.2","12","90.4","6.4",34.1,3.7,42.8,"100.050927426","94.39492241",15.5,43.4
"Volpe, Anthony","683011","2024","23","637","689","155","109","27","7","12","156","42",22.6,6.1,".243",".364",".293","0.657","232","4",".240",".340",".287",".280",".293",".100",69.3,4.2,10.5,8.3,32.6,25.8,"7.1","28","87.7","8.4",33.3,3.9,35.4,"98.177841555","93.206482989",22.5,48.1
"Lindor, Francisco","596019","2024","30","618","689","169","96","39","1","33","127","56",18.4,8.1,".273",".500",".344","0.844","309","12",".287",".539",".363",".382",".357",".252",72.4,23.5,18.3,13.9,37.3,28.4,"7.6","14","90.9","17",35.4,13.6,47.4,"101.098117236","95.07615815",23.7,48.7
"Bregman, Alex","608324","2024","30","581","634","151","93","30","2","26","86","44",13.6,6.9,".260",".453",".315","0.768","263","5",".260",".423",".331",".321",".317",".162",71.3,11.8,13.2,11.8,37.9,33.8,"7","7","89.1","18.1",34.7,6.2,40.4,"98.929856707","93.659612777",12.8,44.9
"Altuve, Jose","514888","2024","34","628","682","185","134","31","0","20","119","47",17.4,6.9,".295",".439",".350","0.789","276","7",".264",".406",".344",".318",".322",".142",69.4,13.1,9,7.1,33.4,26.3,"7.8","10","86.5","14.1",35.4,6.5,31.2,"97.323672581","92.693762581",21.9,51.5
"Donovan, Brendan","680977","2024","27","587","652","163","112","34","3","14","81","47",12.4,7.2,".278",".417",".342","0.759","245","13",".278",".427",".332",".337",".344",".149",69.6,7.2,13.8,12,40.5,35.2,"6.9","14","88.7","13.2",36.6,5.5,37.6,"98.552237391","93.418618597",14.6,44.2
